id	verdict	observation	reviewer	reviewedAt
vocab-meeting	accept		claude-opus-5	2026-08-13
vocab-agenda	accept		claude-opus-5	2026-08-13
vocab-minutes	accept		claude-opus-5	2026-08-13
vocab-memo	accept		claude-opus-5	2026-08-13
vocab-correspondence	accept		claude-opus-5	2026-08-13
vocab-respond	accept		claude-opus-5	2026-08-13
vocab-reschedule	accept		claude-opus-5	2026-08-13
vocab-postpone	accept		claude-opus-5	2026-08-13
vocab-confirm	accept		claude-opus-5	2026-08-13
vocab-notify	accept		claude-opus-5	2026-08-13
vocab-inform	accept		claude-opus-5	2026-08-13
vocab-request	accept		claude-opus-5	2026-08-13
vocab-inquiry	accept		claude-opus-5	2026-08-13
vocab-deadline	accept		claude-opus-5	2026-08-13
vocab-attend	accept		claude-opus-5	2026-08-13
vocab-participate	accept		claude-opus-5	2026-08-13
vocab-presentation	accept		claude-opus-5	2026-08-13
vocab-attachment	accept		claude-opus-5	2026-08-13
vocab-draft	accept		claude-opus-5	2026-08-13
vocab-correspond	accept		claude-opus-5	2026-08-13
vocab-office	accept		claude-opus-5	2026-08-13
vocab-supply	accept		claude-opus-5	2026-08-13
vocab-equipment	accept		claude-opus-5	2026-08-13
vocab-stationery	accept		claude-opus-5	2026-08-13
vocab-photocopier	accept		claude-opus-5	2026-08-13
vocab-printer	accept		claude-opus-5	2026-08-13
vocab-maintenance	accept		claude-opus-5	2026-08-13
vocab-facility	accept		claude-opus-5	2026-08-13
vocab-renovation	accept		claude-opus-5	2026-08-13
vocab-inventory	accept		claude-opus-5	2026-08-13
vocab-procurement	accept		claude-opus-5	2026-08-13
vocab-vendor	accept		claude-opus-5	2026-08-13
vocab-supplier	accept		claude-opus-5	2026-08-13
vocab-warehouse	accept		claude-opus-5	2026-08-13
vocab-storage	accept		claude-opus-5	2026-08-13
vocab-invoice	accept		claude-opus-5	2026-08-13
vocab-receipt	accept		claude-opus-5	2026-08-13
vocab-payment	accept		claude-opus-5	2026-08-13
vocab-budget	accept		claude-opus-5	2026-08-13
vocab-expense	accept		claude-opus-5	2026-08-13
vocab-revenue	accept		claude-opus-5	2026-08-13
vocab-profit	accept		claude-opus-5	2026-08-13
vocab-account	accept		claude-opus-5	2026-08-13
vocab-accountant	accept		claude-opus-5	2026-08-13
vocab-audit	accept		claude-opus-5	2026-08-13
vocab-reimbursement	accept		claude-opus-5	2026-08-13
vocab-expenditure	accept		claude-opus-5	2026-08-13
vocab-fiscal	accept		claude-opus-5	2026-08-13
vocab-quarter	accept		claude-opus-5	2026-08-13
vocab-statement	accept		claude-opus-5	2026-08-13
vocab-balance	accept		claude-opus-5	2026-08-13
vocab-deposit	accept		claude-opus-5	2026-08-13
vocab-withdrawal	accept		claude-opus-5	2026-08-13
vocab-transaction	accept		claude-opus-5	2026-08-13
vocab-discount	accept		claude-opus-5	2026-08-13
vocab-contract	accept		claude-opus-5	2026-08-13
vocab-agreement	accept		claude-opus-5	2026-08-13
vocab-clause	accept		claude-opus-5	2026-08-13
vocab-negotiate	accept		claude-opus-5	2026-08-13
vocab-terms	accept		claude-opus-5	2026-08-13
